Name,ForeignID,Street,Bandar,Postcode,State,District,"Region (North, South, East or Central)",Country Code,Email,Telephone,Mobile,Accessibilty Roadtanker,Binary opening weekdays string,Actual max. size,"Latitude/Longitude, Road",Distribution Channel for SAP field,User Min Stock,User Max Stock,Status,Sold to Name,Sold to ID,ShipTo ID,Sales Organisation for SAP field,"Position Method, Road","Position Method, Home",POI,Overridden terminal for 97,Opening time,No delivery start 2,No delivery start 1,No delivery end 2,No delivery end 1,Name2,Monthly Diesel Quota,Marked for export,"Latitude/Longitude, Home",Last changed by user,Last changed,House Suffix,House Number,GPS-validated,Fax,Division for SAP field,Default terminal,CUSTOMERINFOTEXT23,Customer type,Created by user,Created,Country,"Coordinate, Road","Coordinate, Home",Contact Name,Closing time,Alternative Street,Address District
Kaw. Industri Tangga Batu,80046250,"KWSN INDUSTRI TANGGA BATU, ,","TANGGA BATU,MELAKA",76400,MEL,CENTR1,,PEN,shellawati_ramane@petronas.com.my,67992855,,21840,1111110,,"(2.255064, 102.141939)",CO,,,Default,Kaw. Industri Tangga Batu,90039641,80046250,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.255064, 102.141939)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(849526, 249631)","(849526, 249631)",,18:00:00,,- Invalid -
KBB BUKIT KENAK,80037602,"KOMPLEKS BERNAS BUKIT KENAK, ,",JERTEH,22000,TRE,COMNAT,,PEN,,123832414,,21840,1111110,,"(5.727054, 102.525500)",CO,,,Default,KBB BUKIT KENAK,90018574,80037602,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.727054, 102.525500)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(890598, 634233)","(890598, 634233)",,17:00:00,,- Invalid -
KBB CHANGKAT LADA,80037613,"KOMPLEKS BERNAS CHANGKAT LADA, ,",KG GAJAH,36800,PER,COMNAT,,PEN,,123832414,,21840,1111110,,"(4.352943, 100.883254)",CO,,,Default,KBB CHANGKAT LADA,90018574,80037613,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.352943, 100.883254)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M817,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(708996, 481401)","(708996, 481401)",,17:00:00,,- Invalid -
KBB GUAR CHEMPEDAK,80043148,"KILANG BERAS BERNAS, GUAR CHEMPEDAK, KBB G CHEMPEDAK, BT 20, JALAN YAN",GUAR CHEMPEDAK,8000,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(5.831483, 100.389847)",CO,,,Default,KBB GUAR CHEMPEDAK,90018574,80043148,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.831483, 100.389847)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(653875, 644766)","(653875, 644766)",,17:00:00,,- Invalid -
KBB JERLUN,80043140,"KILANG BERAS BERNAS, JERLUN, KBB JERLUN AYER HITAM",ALOR SETAR,6150,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.210396, 100.267021)",CO,,,Default,KBB JERLUN,90018574,80043140,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.210396, 100.267021)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(640177, 686630)","(640177, 686630)",,17:00:00,,- Invalid -
KBB KANGKONG,80043149,"KILANG BERAS BERNAS, KANGKONG, SIMPANG EMPAT, KANGKONG",ALOR SETAR,6500,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.018779, 100.368129)",CO,,,Default,KBB KANGKONG,90018574,80043149,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.018779, 100.368129)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(651419, 665470)","(651419, 665470)",,17:00:00,,- Invalid -
KBB KERPAN,80043138,"KILANG BERAS BERNAS, KERPAN, KBB KERPAN AYER HITAM",ALOR SETAR,6150,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.246463, 100.229175)",CO,,,Default,KBB KERPAN,90018574,80043138,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.246463, 100.229175)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(635980, 690608)","(635980, 690608)",,17:00:00,,- Invalid -
KBB KUALA PERLIS,80043139,"KILANG BERAS BERNAS, KUALA PERLIS, KBB KUALA PERLIS",KUALA PERLIS,2000,PEL,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.398464, 100.140970)",CO,,,Default,KBB KUALA PERLIS,90018574,80043139,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.398464, 100.140970)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(626184, 707392)","(626184, 707392)",,17:00:00,,- Invalid -
KBB KUALA ROMPIN,80037603,"KOMPLEKS BERNAS KUALA ROMPIN, ,",KUALA ROMPIN,26800,PAH,COMNAT,,PEN,,123832414,,21840,1111110,,"(2.800302, 103.485816)",CO,,,Default,KBB KUALA ROMPIN,90018574,80037603,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.800302, 103.485816)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M839,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(999078, 310476)","(999078, 310476)",,17:00:00,,- Invalid -
KBB MEGAT DEWA,80043151,"KILANG BERAS BERNAS, MEGAT DEWA, KBB MEGAT DEWA",KODIANG,6100,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.328371, 100.333843)",CO,,,Default,KBB MEGAT DEWA,90018574,80043151,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.328371, 100.333843)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(647538, 699693)","(647538, 699693)",,17:00:00,,- Invalid -
KBB PASIR PUTIH,80017427,"KOMPLEKS BERNAS PASIR PUTIH, ,",PASIR PUTIH,16800,KEL,COMNAT,,PEN,,123832414,,21840,1111110,,"(5.824680, 102.369299)",CO,,,Default,KBB PASIR PUTIH,90018574,80017427,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.824680, 102.369299)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(873208, 644939)","(873208, 644939)",,17:00:00,,- Invalid -
KBB PAYA KELADI,80049121,"JALAN PINANG TUNGGAL, SEBERANG PERAI UTARA,",KEPALA BATAS,13200,PIN,COMNAT,,PEN,safrikamal@petronas.com.my,123832414,,21840,1111110,,"(5.384384, 100.389619)",CO,,,Default,KBB PAYA KELADI,90018574,80049121,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.384384, 100.389619)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(653967, 595329)","(653967, 595329)",,17:00:00,,- Invalid -
KBB PERING,80043153,"KILANG BERAS BERNAS, PERING, KBB PERING",KODIANG,6100,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.371473, 100.334352)",CO,,,Default,KBB PERING,90018574,80043153,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.371473, 100.334352)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(647582, 704459)","(647582, 704459)",,17:00:00,,- Invalid -
KBB SEKINCHAN,80037611,"KOMPLEKS BERNAS SEKINCHAN, ,",SEKINCHAN,45400,SEL,COMNAT,,PEN,,123832414,,10920,1111110,,"(3.509809, 101.103984)",CO,,,Default,KBB SEKINCHAN,90018574,80037611,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.509809, 101.103984)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(733737, 388207)","(733737, 388207)",,17:00:00,,- Invalid -
KBB SERI TIRAM JAYA,80037622,"Kompleks Seri Tiram Jaya, ,",Tanjung Karang,45500,SEL,COMNAT,,PEN,,123832414,,10920,1111110,,"(1.603501, 103.818338)",CO,,,Default,KBB SERI TIRAM JAYA,90018574,80037622,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(1.603501, 103.818338)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(1036588, 177868)","(1036588, 177868)",,17:00:00,,- Invalid -
KBB SIMPANG EMPAT,80043145,"KILANG BERAS BENRAS, SIMPANG EMPAT PERLIS, KBB SIMPANG 4 PERLIS",SIMPANG EMPAT,2700,PEL,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.341573, 100.189940)",CO,,,Default,KBB SIMPANG EMPAT,90018574,80043145,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.341573, 100.189940)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(631615, 701114)","(631615, 701114)",,17:00:00,,- Invalid -
KBB SUNGAI BARU,80046105,"KM 1, JALAN KUBANG ROTAN, OFF JALAN PUTRA, SUNGAI BARU",ALOR SETAR,6250,KED,COMNAT,,PEN,safrikamal@petronas.com.my,123832414,,21840,1111110,,"(5.854454, 100.447032)",CO,,,Default,KBB SUNGAI BARU,90018574,80046105,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.854454, 100.447032)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(660201, 647322)","(660201, 647322)",,17:00:00,,- Invalid -
KBB SUNGAI BESAR,80037612,"KOMPLEKS BERNAS SUNGAI BESAR, ,",SUNGAI BESAR,45300,SEL,COMNAT,,PEN,,123832414,,21840,1111110,,"(3.675553, 100.995138)",CO,,,Default,KBB SUNGAI BESAR,90018574,80037612,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.675553, 100.995138)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(721600, 406512)","(721600, 406512)",,17:00:00,,- Invalid -
KBB SUNGAI LIMAU,80043147,"KILANG BERAS BERNAS, SUNGAI LIMAU, KBB SG LIMAU DALAM",YAN,6910,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(5.903007, 100.376458)",CO,,,Default,KBB SUNGAI LIMAU,90018574,80043147,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.903007, 100.376458)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(652373, 652671)","(652373, 652671)",,17:00:00,,- Invalid -
KBB SUNGAI MANIK,80037615,"KOMPLEKS BERNAS SUNGAI MANIK, ,",TELUK INTAN,32000,PER,COMNAT,CENTRAL,PEN,,,,10290,1111100,,"(4.110897, 101.117636)",CO,,,Default,KBB SUNGAI MANIK,90018574,80037615,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.110897, 101.117636)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M817,,Commercial,STARSPRD01_ImportServer,18/12/14 21:06,Malaysia,"(735091, 454697)","(735091, 454697)",,17:00:00,,- Invalid -
KBB SUNGAI RANGGAM,80037614,"KOMPLEKS BERNAS SG. RANGGAM, TELUK INTAN, PERAK,",(TELUK INTAN - SETIAWAN),36000,PER,COMNAT,,PEN,,123832414,,10920,1111110,,"(4.027188, 100.906605)",CO,,,Default,KBB SUNGAI RANGGAM,90018574,80037614,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.027188, 100.906605)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M817,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(711676, 445380)","(711676, 445380)",,17:00:00,,- Invalid -
KBB TELOK KECHAI,80043152,"KILANG BERAS BERNAS, TEBUK KECHAI, KBB TELUK KECHAI, JALAN BATAS PAIP",ALOR SETAR,6600,KED,COMNAT,,PEN,nornaem_nazli@petronas.com.my,123832414,,21840,1111110,,"(6.099953, 100.303370)",CO,,,Default,KBB TELOK KECHAI,90018574,80043152,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.099953, 100.303370)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(644229, 674428)","(644229, 674428)",,17:00:00,,- Invalid -
KBB TUMPAT,80017426,"KOMPLEKS BERNAS TUMPAT, ,",TUMPAT,16200,KEL,COMNAT,,PEN,,123832414,,21840,1111110,,"(6.195074, 102.165736)",CO,,,Default,KBB TUMPAT,90018574,80017426,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(6.195074, 102.165736)",STARSPRD01_ImportServer,22/06/16 1:05,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(850399, 685814)","(850399, 685814)",,17:00:00,,- Invalid -
KCC INDUSTRIES (M) SB,80040988,"LOT 688 MKM KESANG, TJG AGAS, MUKIM KESANG,",MUAR,84000,JOH,SOUTH1,SOUTH,PEN,hamizanr@petronas.com.my,,,27300,1111111,,"(2.051430, 102.573618)",CO,,,Default,KCC INDUSTRIES (M) SB,90033161,80040988,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.051430, 102.573618)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,18/12/14 3:01,Malaysia,"(897660, 227190)","(897660, 227190)",,17:00:00,,- Invalid -
KCC INDUSTRIES (M) SDN BHD,80036550,"BUKIT PENGKALAN, LOT 4888 & 7389 MUKIM JORAK,",PAGOH,84000,JOH,SOUTH1,,PEN,,126816036,,21840,1111110,,"(2.151094, 102.776497)",CO,,,Default,KCC INDUSTRIES (M) SDN BHD,90033161,80036550,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.151094, 102.776497)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(920241, 238282)","(920241, 238282)",,17:00:00,,- Invalid -
KEJURUTERAAN SPEKTRA S/B,80044541,"CPASTA; JOGJWAU SECTOPM (2), HORIZON HILL,",JOHOR BAHRU,81200,JOH,CENTR1,,PEN,dewiyati_ali@petronas.com.my,163356197,,27300,1111110,,"(1.467201, 103.636776)",CO,,,Default,KEJURUTERAAN SPEKTRA S/B,90016085,80044541,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(1.467201, 103.636776)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M829,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(1016356, 162706)","(1016356, 162706)",,18:00:00,,- Invalid -
KEJURUTERAAN SPEKTRA SDN BHD,80048641,"KM285.6-KM280.4 Nilai Toll Plaza, ,",Nilai,71800,SER,CENTR1,,PEN,shellawati_ramane@petronas.com.my,192694388,,10920,1111110,,"(2.824303, 101.796557)",CO,,,Default,KEJURUTERAAN SPEKTRA SDN BHD,90016085,80048641,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.824303, 101.796557)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(810935, 312547)","(810935, 312547)",,17:00:00,,- Invalid -
KEJURUTERAAN SPEKTRA SDN BHD,80048552,"Bkt Lanjan KM22 & KM29,, JLN DUTA TOLL PLAZA,",KUALA LUMPUR,52200,PSK,CENTR1,,PEN,shellawati_ramane@petronas.com.my,163356197,,10920,1111110,,"(3.180687, 101.635205)",CO,,,Default,KEJURUTERAAN SPEKTRA SDN BHD,90016085,80048552,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.180687, 101.635205)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(792887, 351939)","(792887, 351939)",,17:00:00,,- Invalid -
KEM PUNCAK MAS,80001633,"ANGKATAN TENETERA, ,",PEKAN,26600,PAH,COMNAT,,PEN,,135070148,,21840,1111110,,"(3.414512, 103.174582)",CO,,,Default,KEM PUNCAK MAS,90004714,80001633,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.414512, 103.174582)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M839,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(964118, 378419)","(964118, 378419)",,17:00:00,,- Invalid -
KEMPAS BARU ( C ),80051135,"KTMB, JALAN PERMATANG UTAMA, KEMPAS BARU",JOHOR,81300,JOH,COMNAT,SOUTH,PEN,nadhil.latif@petronas.com.my,,,,1111100,,"(1.535303, 103.721679)",CO,,,Default,KEMPAS BARU ( C ),90031152,80051135,D001,,,Invalid,,12:30:00,12:30:00,12:30:00,12:30:00,12:30:00,,,FALSE,"(1.535303, 103.721679)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,24/03/16 12:49,Malaysia,"(1025816, 170279)","(1025816, 170279)",,12:30:00,,- Invalid -
KEMPAS KLEBANG ESTATE,80042854,"K.B. NO. 105, ,",PALOH,86609,JOH,COMNAT,,PEN,nazrulazi@petronas.com.my,378485227,,10920,1111110,,"(3.152520, 101.711104)",CO,,,Default,KEMPAS KLEBANG ESTATE,90037813,80042854,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.152520, 101.711104)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(801337, 348844)","(801337, 348844)",,17:00:00,,- Invalid -
KEND. LANGKASUKA SDN BHD,80001670,"(SG PETANI), NO.23A,JALAN KAMPONG BARU,",SUNGAI PETANI,8000,KED,COMNAT,,PEN,,129057905,,21840,1111110,,"(5.597194, 100.471615)",CO,,,Default,KEND. LANGKASUKA SDN BHD,90009176,80001670,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.597194, 100.471615)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:25,Malaysia,"(662996, 618882)","(662996, 618882)",,17:00:00,,- Invalid -
KENNEISON NORTHERN QUARRY SDN.BHD.,90040947,"LOT 6669, BATU 11 3/4, KG. SG. SERAI, SUNGAI LONG,",HULU LANGAT,43100,SEL,COMBIT,,PEN,nornaem_nazli@petronas.com.my,183089708,,,1111110,,"(3.050148, 101.802971)",CO,,,Default,KENNEISON NORTHERN QUARRY SDN.BHD.,90040947,90040947,D001,,,Invalid,,9:00:00,,,,,,,FALSE,"(3.050148, 101.802971)",STARSPRD01_ImportServer,19/06/16 1:07,,,FALSE,,BT,M828,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(811586, 337542)","(811586, 337542)",,17:00:00,,- Invalid -
KENYIR SPLENDOUR BERHAD,90016719,"P.O. BOX 32, POS MALAYSIA, KUALA BERANG,",TERENGGANU,21700,TRE,EAST1,,PEN,fakhruladly.husin@petronas.com.my,132985362,,10920,1111110,,"(5.098445, 102.786629)",CO,,,Default,KENYIR SPLENDOUR BERHAD,90016719,90016719,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.098445, 102.786629)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(920004, 564781)","(920004, 564781)",,17:00:00,,- Invalid -
KERNEL CRUSHING PLANT,80034024,"PULAU CAREY, ,",TELUK PANGLMA GARANG,42960,SEL,COMNAT,,PEN,safrikamal@petronas.com.my,378485227,,10920,1111110,,"(2.860474, 101.365797)",CO,,,Default,KERNEL CRUSHING PLANT,90037813,80034024,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(2.860474, 101.365797)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(763003, 316442)","(763003, 316442)",,17:00:00,,- Invalid -
Kerteh Airport,90030035,"24300 Kemaman, ,",Kemaman,24300,TRE,EAST1,,PEN,,122036498,,43680,1111111,,"(4.544310, 103.429567)",AV,,,Default,Kerteh Airport,90030035,90030035,D001,,,Invalid,,9:00:00,15:00:00,10:00:00,17:00:00,12:00:00,,,FALSE,"(4.544310, 103.429567)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M83J,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(991848, 503802)","(991848, 503802)",,18:00:00,,- Invalid -
Kerteh Supply Base/,90030060,"c/o PETRONAS Penapisan (Terengganu)SB, ,",Kerteh,24300,TRE,EAST1,EAST,PEN,,,,10920,1111111,,"(4.524756, 103.457246)",CO,,,Default,Kerteh Supply Base/,90030060,90030060,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.524756, 103.457246)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,26/12/14 16:37,Malaysia,"(994941, 501653)","(994941, 501653)",,17:00:00,,- Invalid -
KERTIH PORT SDN BHD,7790010045,"LOT 3834 KAWASAN BUKIT TENGAH, KM 105 JLN KUANTAN-KUALA TERENGGANU,","KERTIH, KEMAMAN",24300,TRE,EAST1,EAST,PEN,fakhruladly.husin@petronas.com.my,,,10920,1111111,,"(4.524628, 103.456068)",CO,,,Default,KERTIH PORT SDN BHD,7790010045,7790010045,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(4.524628, 103.456068)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M838,,Commercial,STARSPRD01_ImportServer,23/12/14 20:51,Malaysia,"(994810, 501638)","(994810, 501638)",,18:00:00,,- Invalid -
KETUA POLIS MERIN WILAYAH UTARA,80042038,"(GELUGOR), IBU PEJABAT POLIS MERIN P.PINANG, BATU UBAN LEBUHRAYA SG. NIBONG",GELOGOR,11700,PIN,COMNAT,,PEN,ahmadakmal@petronas.com.my,46439453,,10920,1111110,,"(5.330251, 100.300818)",CO,,,Default,KETUA POLIS MERIN WILAYAH UTARA,90015225,80042038,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(5.330251, 100.300818)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M818,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(644139, 589322)","(644139, 589322)",,17:00:00,,- Invalid -
KHALIF UNGGUL PETROMART,90038168,"LOT PT 4611 & 1603, LOT MLO 5520, SKUDAI-SENAI HIGHWAY (TMN AMAN),",SENAI,81400,JOH,SOUTH2,SOUTH,PEN,,192306480,,43680,1111111,,"(1.588669, 103.647601)",RE,,,Default,KHALIF UNGGUL PETROMART,90038168,90038168,D001,,,Invalid,,6:00:00,,,,,,376740,FALSE,"(1.588669, 103.647601)",STARSPRD01_ImportServer,10/09/16 1:05,,,FALSE,,FL,M829,,SMB,STARSPRD01_ImportServer,07/12/14 15:40,Malaysia,"(1017535, 176179)","(1017535, 176179)",,23:00:00,,- Invalid -
KILANG BATU BATA HAP KEE,90030614,"BATU 18, JALAN MANCIS, SRI TELEMONG, ,",BENTONG,28620,PAH,EAST1,,PEN,roduanjusoh@petronas.com.my,162117603,,21840,1111110,,"(3.358478, 102.061868)",CO,,,Default,KILANG BATU BATA HAP KEE,90030614,90030614,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.358478, 102.061868)",STARSPRD01_ImportServer,19/06/16 1:06,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:27,Malaysia,"(840290, 371750)","(840290, 371750)",,17:00:00,,- Invalid -
KILANG BATU BATA HAP KEE SDN BHD,80042064,"LOT PT 4450, MUKIM SERENDAH, OFF 43 KM, JLN KL-IPOH,",SERENDAH,48200,SEL,EAST1,,PEN,anuarsamad@petronas.com.my,162073213,,21840,1111110,,"(3.367070, 101.610405)",CO,,,Default,KILANG BATU BATA HAP KEE SDN BHD,90030614,80042064,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.367070, 101.610405)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(790075, 372555)","(790075, 372555)",,17:00:00,,- Invalid -
KILANG BATU BATA HAP KEE SDN BHD,80036031,"LOT 2A1-2A2 SUNGAI BAKAU, ,",RAWANG,48020,SEL,EAST1,,PEN,,162073213,,21840,1111110,,"(3.357776, 102.063907)",CO,,,Default,KILANG BATU BATA HAP KEE SDN BHD,90030614,80036031,D001,,,Invalid,,8:00:00,,,,,,,FALSE,"(3.357776, 102.063907)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M808,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(840517, 371673)","(840517, 371673)",,17:00:00,,- Invalid -
KILANG BATU BATA SEBANEKA,80012970,"LOT 12216, BATU 25, JALAN JALONG TINGGI,",SUNGAI SIPUT,31100,PER,NORTH1,,PEN,,52545230,,10920,1111110,,"(1.743604, 103.901887)",CO,,,Default,KILANG BATU BATA SEBANEKA,90009377,80012970,D001,,,Invalid,,8:00:00,,12:30:00,,13:30:00,,,FALSE,"(1.743604, 103.901887)",STARSPRD01_ImportServer,16/09/16 1:04,,,FALSE,,FL,M817,,Commercial,STARSPRD01_ImportServer,08/12/14 16:26,Malaysia,"(1045876, 193433)","(1045876, 193433)",,17:00:00,,- Invalid -
KILANG BUKIT BUJANG,80043559,"PETI SURAT 69, ,","SEGAMAT, JOHOR",85007,JOH,SOUTH1,SOUTH,PEN,norazlina_kariman@petronas.com.my,,,,1111111,,"(2.800489, 102.757743)",CO,,,Default,KILANG BUKIT BUJANG,90038183,80043559,D001,,,Invalid,,0:00:00,,,,,,,FALSE,"(2.800489, 102.757743)",najib_daud_STARSPRDXMI_4,09/06/16 1:09,,,FALSE,,FL,M828,,Commercial,STARSPRD01_ImportServer,01/01/15 23:16,Malaysia,"(917947, 310211)","(917947, 310211)",,23:59:59,,- Invalid -
